rank,input,head,mean_comp,delta,ci95_lo,ci95_hi,t_naive,p_naive,t_nb,p_nb,df,sig_naive,sig_nb
2,img_velocity_vit,random_forest,0.7090476190476191,0.036640211640211626,-0.016256621835169925,0.08953704511559318,1.3576392025098771,0.18504952879971975,0.6521887770939523,0.5194157302990671,29,False,False
3,img_raw_swin,random_forest,0.6472751322751324,0.09841269841269842,0.01901908697507715,0.1778063098503197,2.429526575201075,0.021543190663962847,1.167106815322033,0.252674641075835,29,True,False
4,img_acceleration_vit,mlp_small,0.6372053872053872,0.10848244348244346,0.04818261147997958,0.16878227548490735,3.5261389984784897,0.001423121856826948,1.6939023836594387,0.10099959761617636,29,True,False
5,img_rgb_vpa_vit,random_forest,0.6235185185185185,0.12216931216931218,0.034481631079657196,0.20985699325896717,2.7307353652906823,0.010636921169573757,1.3118028377227715,0.19987696561639118,29,True,False
6,img_rgb_vpz_swin,mlp_fixed,0.622962962962963,0.12272486772486771,0.03368859037639811,0.21176114507333732,2.701603749663903,0.011406218816409628,1.2978084622397448,0.20458146247625603,29,True,False
7,img_rgb_vpz_vit,random_forest,0.6225925925925926,0.12309523809523808,0.06312579963673695,0.1830646765537392,4.023160344141345,0.0003756647987152857,1.9326637151075776,0.06309685130803079,29,True,False
8,img_rgb_vpe_swin,mlp_fixed,0.6184391534391535,0.12724867724867722,0.048749168477301236,0.2057481860200532,3.177184307404878,0.0035173396591174004,1.5262699723297128,0.13777636895660145,29,True,False
9,img_pressure_swin,mlp_fixed,0.6156709956709958,0.130016835016835,0.05315028778699574,0.20688338224667427,3.315265298323059,0.0024676700393592398,1.5926019347836287,0.1220924484499801,29,True,False
10,img_pressure_vit,random_forest,0.6147089947089948,0.130978835978836,0.07303123342947693,0.18892643852819507,4.430183600777078,0.000123122710562474,2.12819136303002,0.041944155671708415,29,True,True
11,img_rgb_vpa_swin,svm_linear,0.6146296296296297,0.13105820105820104,0.06612718206007578,0.1959892200563263,3.9561072356109293,0.00045064740588350024,1.9004524436799752,0.06735622212455315,29,True,False
12,img_raw_vit,logistic_regression,0.6139947089947089,0.13169312169312167,0.05958086924708826,0.20380537413915506,3.579398919922609,0.0012364757280028352,1.7194876223373907,0.09618342041791236,29,True,False
13,img_effort_swin,random_forest,0.6066137566137566,0.13907407407407404,0.06395701091140393,0.21419113723674416,3.6288051437113165,0.0010847319888033472,1.7432216045426911,0.0918900558971434,29,True,False
14,img_rgb_vpz_effnet,mlp_fixed,0.6015343915343915,0.14415343915343914,0.06591275089180192,0.22239412741507636,3.611174019787801,0.0011366815862275893,1.7347518865725473,0.09340323162947806,29,True,False
15,img_acceleration_swin,random_forest,0.5888888888888888,0.1567989417989418,0.08337227687213027,0.23022560672575332,4.1854812040320075,0.00024124973916766083,2.0106401339626156,0.05374357113842246,29,True,False
16,img_rgb_vpe_vit,random_forest,0.5875661375661375,0.15812169312169308,0.09161245073656886,0.2246309355068173,4.659781218434632,6.524464086392798e-05,2.238486490930671,0.03303104338867476,29,True,True
17,img_acceleration_effnet,mlp_small,0.5847619047619048,0.16092592592592592,0.08368973344421778,0.23816211840763407,4.083769599200719,0.00031852406324786435,1.961779459456055,0.059450325926623415,29,True,False
18,img_rgb_vpe_effnet,logistic_regression,0.5834920634920635,0.16219576719576714,0.05816280438987252,0.26622873000166175,3.0557978464657443,0.004782124816782309,1.4679578026683622,0.15287910777936606,29,True,False
19,img_effort_effnet,random_forest,0.5825661375661376,0.16312169312169308,0.07482129511810066,0.2514220911252855,3.6208049538520877,0.0011080117463727543,1.7393784376459456,0.09257407808930364,29,True,False
20,img_velocity_swin,svm_linear,0.5812169312169313,0.1644708994708995,0.08839628657531831,0.24054551236648067,4.23745781533497,0.00020922503815439642,2.03560889038958,0.05101744799492927,29,True,False
21,img_azimuth_vit,random_forest,0.5798148148148149,0.16587301587301587,0.08363796527043575,0.24810806647559597,3.9534372354470317,0.00045391918240086205,1.8991698170892624,0.06753086406499108,29,True,False
22,img_velocity_effnet,svm_linear,0.5733164983164982,0.17237133237133231,0.10806188607621743,0.2366807786664472,5.253471004826164,1.254003774561404e-05,2.523685839214109,0.017347320173519486,29,True,True
23,img_altitude_swin,random_forest,0.5714814814814815,0.17420634920634917,0.08700407411212244,0.2614086243005759,3.915545140026397,0.000502940960395509,1.8809670432387249,0.07005190651805183,29,True,False
24,img_raw_effnet,random_forest,0.5667195767195767,0.17896825396825397,0.10298359407032344,0.2549529138661845,4.616428871945656,7.357212202350895e-05,2.217660697311477,0.03457079826983535,29,True,True
25,img_azimuth_effnet,mlp_fixed,0.5607768157768158,0.1849110149110149,0.10760634028354593,0.26221568953848384,4.688275204211351,6.0288889402794336e-05,2.252174558941595,0.03205293249133855,29,True,True
26,img_azimuth_swin,logistic_regression,0.5487566137566138,0.19693121693121687,0.09706250792366791,0.2967999259387658,3.864926151753988,0.0005765964387183821,1.8566504678200986,0.07354618282284467,29,True,False
27,img_rgb_vpa_effnet,mlp_small,0.545026455026455,0.20066137566137568,0.13551502410039695,0.2658077272223544,6.037119299430919,1.438641609020312e-06,2.9001383031568024,0.0070439465584390265,29,True,True
28,img_pressure_effnet,random_forest,0.5415007215007215,0.20418710918710922,0.11455980294631313,0.2938144154279053,4.4652322020202595,0.00011177016834870967,2.145028166461584,0.04045780106733368,29,True,True
29,img_altitude_vit,random_forest,0.5263756613756614,0.2193121693121693,0.13614111005385207,0.3024832285704865,5.168286368901405,1.5889065651667323e-05,2.4827644637645383,0.019068672019428093,29,True,True
30,img_altitude_effnet,random_forest,0.5223809523809524,0.22330687830687826,0.1444339932837973,0.3021797633299592,5.549200861023411,5.520793569413764e-06,2.6657498669078357,0.01242433234181236,29,True,True
31,handcrafted,random_forest,0.508015873015873,0.23767195767195767,0.14781421352673996,0.3275297018171754,5.18416127033197,1.5203288213582373e-05,2.4903905197382805,0.018736421671111902,29,True,True
